token,freq. 1° Repubblica,freq. 2° Repubblica
paese,100,102
fiducia,17,60
impegno,40,51
speranza,22,7
senza,35,31
avvenire,17,1
infatti,4,1
crisi,22,42
società,62,24
sicurezza,15,10
quando,18,41
anno,235,151
augurio,39,32
perchè,92,1
maggiore,11,1
capacità,13,11
gravi,3,1
popolo,135,7
libero,3,1
messaggio,7,1
difficoltà,6,23
azione,3,1
politica,30,97
civile,37,13
necessaria,3,1
comune,14,19
essere,118,101
giustizia,40,9
spesso,3,1
lavoro,53,66
ogni,105,97
ancor,2,1
patria,21,20
italiano,75,4
possa,24,1
tale,5,1
rigoglio,1,1
intimi,1,1
affetti,1,1
suscitato,1,1
trasmissione,1,1
caro,1,1
interpretare,1,1
parola,1,1
fervore,1,1
sentimenti,3,1
soglia,1,1
così,16,38
attuale,1,1
vigilia,1,1
accomuna,1,1
palpito,1,1
mutua,1,1
comprensione,5,1
fraterna,1,1
solidar1età,1,1
aspro,1,1
stato,142,154
molti,1,12
vita,80,83
italia,109,292
mai,32,30
buon,20,5
solo,38,72
giovani,94,87
ciascuno,23,14
pace,112,95
passato,7,1
mondo,84,86
sempre,105,40
bisogno,7,8
auguri,6,39
allora,6,8
nulla,6,1
vuole,15,1
dobbiamo,50,39
solidarietà,20,9
uomo,19,11
partiti,15,22
europa,47,71
dovere,18,13
responsabilità,57,13
può,31,76
democrazia,39,13
parlamento,10,51
coraggio,14,7
deve,50,38
diritto,15,1
me,14,11
proprio,11,1
verità,6,4
giudizio,6,1
grave,6,1
problema,21,3
popoli,42,10
collaborazione,13,1
fra,55,37
rapporti,10,4
nazioni,31,3
paesi,27,9
insieme,23,44
italiani,97,77
già,17,10
soluzione,9,1
voglio,4,1
uomini,11,4
pacifica,2,1
rimarrebbe,2,1
parte,28,49
iniziativa,2,1
tenda,2,1
condizioni,5,1
libertà,106,18
strumento,2,1
accento,2,1
problemi,66,17
altro,8,1
fine,15,5
ancora,54,64
sociale,19,20
corso,19,1
1971,4,1
scuola,4,14
ciò,22,4
debbono,4,1
quest,10,1
quali,7,4
rivolgo,18,4
studenti,4,1
insegnanti,4,1
regioni,4,1
repubblica,22,12
comunità,42,16
cittadini,60,29
nazionale,14,7
ordine,24,1
grande,26,68
certo,25,1
verso,32,11
politiche,7,16
sviluppo,44,19
alleanza,7,1
forze,29,39
democratico,7,1
internazionale,22,1
strumenti,7,1
ormai,11,1
commosso,4,1
tutte,10,8
mentre,6,1
1963,3,1
avvenimenti,3,1
prima,7,18
due,20,9
grandi,8,9
visite,3,1
d,17,25
pur,12,1
nuovo,31,25
economica,20,1
senso,17,15
governo,8,46
sacrifici,6,5
consapevole,3,1
morale,9,1
altri,26,27
concludersi,2,1
situazione,17,1
maggioranza,2,1
dovuto,2,1
settori,5,1
lavoratori,9,1
affrontare,2,4
dato,5,4
cittadino,17,1
costume,5,1
istituzioni,30,55
vicende,3,1
strutture,3,1
costituzione,11,8
oggi,17,18
propria,3,1
aspetto,3,1
possono,13,14
norme,3,1
limite,3,1
tempo,5,25
europea,11,27
gran,5,1
bretagna,5,1
economico,9,1
occasione,3,6
bene,15,18
pubblica,9,1
progresso,18,1
soltanto,11,4
processo,3,1
potrà,5,1
soprattutto,7,16
concittadini,2,6
pensiero,3,12
state,2,1
alba,1,1
trova,1,1
vieppiù,1,1
impegnata,1,1
vasta,1,1
opera,5,5
perfezionamento,1,1
patrimonio,1,1
beni,1,1
morali,1,1
materiali,1,1
lasciamo,1,1
dietro,1,1
accanto,1,1
segnalate,1,1
consolazioni,1,1
arrecataci,1,1
restituzione,1,1
trieste,1,1
riservate,1,1
tradizione,3,1
dovrebbe,3,1
cittadine,2,1
nazione,16,10
legge,2,1
anzi,2,1
presente,2,1
quasi,2,1
circostanza,2,1
sembra,2,1
dire,2,68
sincerità,2,1
tacere,2,1
mandato,2,3
farvi,2,1
serenità,2,4
ripresa,11,1
quel,5,28
anni,10,74
rispetto,6,12
fino,4,7
immagine,4,1
coscienza,11,1
difficile,8,1
qui,40,10
quindi,44,1
fare,15,22
contingente,10,1
guerra,36,7
vivere,8,3
molto,23,32
libano,7,1
fatto,25,30
veramente,6,1
adesso,6,1
detto,14,24
vogliono,2,1
città,2,4
borgo,2,1
casolare,2,1
1950,1,1
chiude,4,1
interrogano,1,1
ansia,1,1
domani,5,1
scorgere,1,1
orizzonte,1,1
incerto,1,1
segni,1,1
fecondo,1,1
benessere,6,1
aspirano,1,1
perseverare,1,1
ricostruzione,1,1
devastato,1,1
richiami,2,1
speranze,2,1
pari,1,1
attesa,1,1
vorrei,1,42
saluto,1,2
augurale,1,1
riconosceste,1,1
voce,1,1
attingervi,1,1
aprono,1,1
cuori,1,1
ritorno,1,1
suggestive,1,1
ore,1,1
cammino,3,1
percorso,1,1
tappe,1,1
raggiunte,1,1
volge,2,1
ben,4,1
crescere,4,1
consapevolezza,4,1
vedere,3,1
vitalità,3,1
terrorismo,50,1
milioni,5,1
italiane,11,1
cataclisma,4,1
meridione,4,1
famiglie,4,10
fame,11,1
amici,16,1
case,3,1
penso,10,4
vittime,10,3
sismico,3,1
scatenato,3,1
posto,3,1
spirito,9,13
contributo,3,1
sforzo,5,1
nessuno,3,1
importanza,2,1
umanità,2,1
esigenza,3,1
clima,2,1
forza,3,4
unite,2,1
armi,2,1
violenza,16,1
peso,2,1
diritti,2,1
possibilità,3,1
continuo,3,1
far,3,4
interessi,3,1
auspicio,3,1
destino,4,1
primo,6,4
disoccupazione,11,1
conforto,4,1
ricordare,5,1
cara,3,1
atmosfera,2,1
attraverso,2,1
comunione,2,1
stati,19,18
colpiti,2,1
presenti,2,1
coloro,9,3
sindacati,5,1
criminalità,4,1
realtà,4,13
sento,3,1
alcuni,5,9
ebbene,17,1
altra,4,1
volontà,5,4
odio,2,1
migliore,2,1
fin,2,1
passate,2,1
campo,2,1
provvedimenti,3,1
vicino,3,1
piano,2,1
registrare,2,1
suprema,2,1
cordiale,2,1
animo,17,3
affettuoso,3,1
delicato,2,1
anzitutto,3,1
1964,2,1
chiamato,1,1
pochi,1,1
giorni,1,1
magistratura,1,1
partecipazione,4,1
civiltà,3,1
umana,9,1
essa,2,1
continuato,2,1
mezzi,6,1
disposizione,2,1
presidente,5,41
armate,4,1
estero,3,4
purtroppo,3,1
vie,2,1
termine,1,1
desidero,1,3
volta,1,7
riaccostarmi,1,1
idealmente,1,1
inviando,1,1
ognuno,1,1
essi,5,1
intera,1,1
lieto,1,1
trae,1,1
bilancio,1,1
venuto,1,1
compiendo,1,1
ultimi,1,1
tempi,1,1
vari,1,1
campi,1,1
alto,2,1
posti,6,1
concordia,2,1
1972,2,1
strada,2,15
taliani,1,1
tradizionale,1,1
incontro,1,4
capo,1,20
coincide,1,1
elezione,1,1
sesto,1,1
passaggio,1,1
ufficio,1,1
giuseppe,1,1
voti,2,1
augurali,2,1
decennio,2,1
basti,2,1
motivi,2,1
meglio,2,5
solamente,1,1
consuetudine,1,1
sentita,1,1
iniziare,1,1
fervidi,1,1
ora,4,9
richiama,1,1
libere,4,1
umani,4,1
invece,4,1
nuova,6,3
valori,6,21
liberazione,5,1
segno,5,1
est,5,1
importante,4,1
stagione,4,1
storia,4,12
occidente,4,1
significa,6,4
realizzare,6,1
amministrazione,6,1
sistema,6,5
servizio,4,1
adeguamento,4,1
istituzionali,4,1
via,3,1
nuove,2,20
lieti,2,1
auspici,2,1
lasciar,1,1
passare,1,1
ritornare,1,1
uso,1,1
convegno,1,1
ideale,1,1
muoveremo,1,1
ulteriori,1,1
prove,1,1
testimoniano,1,1
ricordo,1,12
vivono,1,1
tuttora,1,1
sotto,1,1
atto,4,1
dare,4,1
generale,3,4
possibile,3,1
necessario,3,1
compatrioti,5,1
stragi,5,1
familiari,5,1
quirinale,5,1
parenti,4,1
strage,4,1
cinque,4,1
stesso,4,12
chiedono,4,1
cerchino,4,1
all’estero,4,1
giorno,4,8
prezzo,4,1
pagato,4,1
trovare,4,1
forse,7,1
1988,6,1
nuovi,6,1
certamente,5,1
convivenza,5,1
ripeto,14,1
p2,9,1
casa,7,3
polonia,6,1
operaio,8,1
tutta,6,3
appello,5,4
terroristi,5,1
italiana,5,7
movimento,5,1
poi,5,1
papa,5,1
mali,5,1
avviene,5,1
vedete,9,1
ascoltate,7,1
esperienza,6,1
anziani,6,1
difendere,6,1
modo,5,16
momento,5,1
credo,5,1
attività,4,1
umane,3,1
contribuito,3,1
spesa,3,1
figli,3,1
grazie,2,52
ritmo,2,1
1966,2,1
esse,2,1
dirigenti,5,1
tanto,4,13
precedenti,3,1
ceti,3,1
categorie,3,1
eventi,2,1
finisce,2,1
lascia,2,1
famiglia,1,7
forte,1,15
vanno,1,9
fa,1,18
futuro,1,35
confronti,1,3
particolare,1,7
possiamo,1,10
sociali,1,5
generazioni,1,5
economia,1,5
richiede,1,5
opportunità,1,5
generazione,1,4
occupazione,1,4
dipende,1,8
volte,1,33
essenziale,1,4
tante,1,38
va,1,27
persone,1,38
donne,1,9
sostegno,1,4
devono,1,4
elettori,1,4
regole,1,4
tanti,1,8
2014,1,5
pubblico,1,4
cose,1,11
presenza,1,8
riforme,1,7
guardando,1,4
riconoscenza,1,5
2016,1,4
positive,1,4
altre,1,4
vuol,1,4
stasera,1,4
sette,1,4
voluto,1,3
identità,1,3
incontri,1,3
cuore,1,3
unità,1,19
buongoverno,1,5
confronto,1,4
cosa,1,26
dopo,1,13
pagina,1,10
costituzionale,1,10
attenzione,1,9
crescita,1,8
dunque,1,5
mettere,1,4
dialogo,1,19
unione,1,8
euro,1,4
qualche,1,22
no,1,25
dico,1,9
–,1,45
cultura,1,15
l’italia,1,9
e’,1,8
ricerca,1,4
dell’italia,1,8
tutela,1,4
visto,1,3
recente,1,3
dovunque,1,3
persona,1,13
tema,1,11
gente,1,8
secolo,1,9
cento,1,5
operare,1,4
guardare,1,4
minaccia,1,4
presidenza,1,5
quell,1,4
prova,1,5
mondiale,1,4
europei,1,4
disastro,1,3
migliaia,1,3
pandemia,1,7
virus,1,5
avere,1,4
cari,1,3
